name	completion_date	description	experiment_type	researcher	research_group	cell_tissue_type	species	instrument	experimental_details
PR526	14.01.15	6-plex TMT	Full proteome	Tyrakis	Griffiths	UOK262 	Human		"Fumarate hydratase is a bone fide mitochondrial tumour suppressor mutated in a variety of tumours. Fumarate Hydratase (FH) null cells accumulate vast amounts of intracellular fumarate (>10mM). I am interested in changes of the proteome in fumarate-hydratase null cells and in particular, I would like to use TMT-10 plex to obtain relative differences in the abundance of enzymes of metabolic pathways between FH KO and WT cells. Pathways of interest include glycolysis, fatty acid biosynthesis/oxidation, oxidative phosphorylation, urea cycle and the TCA cycle. UOK262 cells were derived from a retroperitoneal metastasis in a lymph node from a female patient with a primary renal tumour caused by a point mutation in fumarate hydratase (FH). UOK262pFH cells were then derived from UOK262 cells by complementation with functional human FH. Hence, we use UOK262pFH as the control cells for UOK262. For both UOK262 and UOK262pFH cells, between 8-10 million cells were washed twice with ice-cold 1X PBS and immediately scraped into Eppendorf tubes on ice. After pelleting at 1300g for 3 min at 4 degrees, the supernatant was discarded and the pellets snap frozen in a dry-ice freeing mixture."
PR528	20.01.15	8-plex TMT	Full proteome	Tyrakis	Griffiths	kidney derived	Mouse		"For both FH wild-type, knock out and complemented cells, between 8-10 million cells were washed twice with ice-cold 1X PBS and immediately scraped into Eppendorf tubes on ice. After pelleting at 1300g for 3 min at 4 degrees, the supernatant was discarded and the pellet snap frozen in a dry-ice freeing mixture. These are the cell lines used: 1. FH wild-type cells: ð??FLð?? 2. FH knockout cells clone A: ð??CL1ð?? 3. FH knockout cells clone B: ð??CL19ð?? 4. FH knockout cells clone B with restored FH function: ð??CL19pFHð?? These cells were derived from mouse kidney by my collaboratorð??s lab as follows: First, FL cell were derived from the mouse kidney. Then CL1 and CL19 cells were derived from FL cells, by genetically deleting exons 3 and 4 of the FH gene. Then, CL19pFH was made from CL19, by genetically restoring full length FH protein. All these cells are not commercially available like other cell lines. *******This experiment is replicate of PR518"
PR532	04.02.15	10-plex TMT	Full proteome	Aitken	Odom	Liver	Mouse		"CCCTC-binding factor (CTCF) is a DNA-binding protein that regulates enhancer-promoter interactions and defines transcriptional and chromatin domains. CTCF has been implicated as a tumour suppressor gene: Ctcf haplodeficient mice develop multiple spontaneous tumours, and CTCF mutations have been identified in human malignancies. Our study will investigate how altering the genomic concentration of CTCF impacts genome organisation and stability. To accomplish this, we will combine a genetically engineered mouse model lacking one copy of Ctcf with functional genomics and proteomics experiments. **homogenization using QIAGEN TissueLyzer 20Hz for 1min in 400ul TEAD with 5mm steel ball. Then submit the samples in the proteomics"
PR581	28.05.15	9-plex TMT	Full proteome	Mohammed	Riek	H9 	Human		"The objective of this experiment is to understand and characterise the differences between different states of human embryonic stem cells. To this purpose, we have cultured a human embryonic stem cell line (named H9 NK2 tet Clone #8 as a transgene has been introduced into the parental H9 line) in different conditions which induce either the naive state, resembling the inner cell mass of the early embryo, the primed state, resembling the epiblast cell of the early embryo or in conditions driving endoderm differentiation, one of three germ layers. In vivo cells of these states are practically not accessible and as such, the datasets generated will provide a very interesting view into the proteome of the human during early development and might also be relevant for human iPSC and regenerative medicine"
PR563	01.04.15	8-plex TMT	Full proteome	Chandrasekaran	Brenton	HCT116	Human		"Role of P53 in acentriolar cells: To study the role of P53 protein in centriole less cells, we knocked out SAS6, an essential centriolar protein in P53 WT and P53 null cells. We now need the help of proteomics to identify differently expressed proteins in these cell lines. With this we will be able to identify proteins (esp. P53 regulated) which causes chromosomal instabilities in these cell lines. *6*10^6 cells."
PR487	15.10.14	SILAC TMT	Secretome	Hoare	Narita	IMR90	Human	QExactive	"ER:Ras XIH-N1ICD IMR90 human diploid fibroblasts were grown in DMEM (Thermo) containing heavy arginine and lysine (+8, +10) (CKGas) for 9 days consistent with our previous experiments looking at proteome labelling. There are 5 treatment arms in this experiment: 1. G, growing, untreated. (n=4) 2. 4T, 4OHT=tamoxifen added for 6 days to induce Ras and therefore lead to Ras-induced senescence. (n=6) 3. D, Doxycycline added for 3 days to induce N1ICD, the active signalling fragment of Notch1 signalling and therefore lead to Notch1- induced senescence. (n=6) 4. 4TD, both Ras and Notch1 induced. (n=6) 5. E, Etoposide, Etoposide added for 7 days as a DNA damaging agent, leading to DNA-damage induced senescence. (n=6) For the last 16 hours of the experiment the cells from all conditions were plated at equal numbers and were cultured in 5ml serum free SILAC DMEM. To harvest, the media was removed from the cells, filtered through a 0.22um filter and then centrifuged to remove any debris.."
PR499	10.11.14	SILAC TMT	Full proteome	Narita	Narita	IMR90	Human	QExactive	"We would like to detect newly synthesized proteins in proteomics system. As a pilot experiment, we need to know the time length to culture cells to detect them. IMR90 (ER:Ras) cells are grown in either light SILAC medium at time point zero, or the medium is changed to heavy SILAC medium. Cells (5-6x106) are collected over a time course; 0h, half hour (0.5h), 2hs, 6hs and 24hrs in two replicates (batch A & B). *Biological Replicate"
PR511	10.12.14	10-plex TMT	Full proteome	Koh	Jodrell	PaCa-2	Human	QExactive	"10X10^6 MIA PaCa-2 cells were seeded on each petri dish on day 0. On day 1, cells were treated with DMSO, 10nM gemcitabine, 1uM S1181 and 10nM gemcitabine+1uM S1181. On day 2, cells were scraped with ice-cold PBS and centrifuged at 4C. Pellets were then kept at -80C for a week before they were transferred to the Proteomics Core. The experiment includes biological replicates"
PR512	12.12.14	7-plex TMT	Organelle proteome	Quarantotti	Gergely	DT40	Chicken	QExactive	"Centriolar satellites were purified based on the protocol described by Kim et al. (2008) Briefly, DT40 cells were treated with 2ððððððg/ml nocodazole and 1ððððððg/ml cytochalasin B for 2 hours, washed in ice-cold PBS, and lysed in a buffer containing 50mM Tris HCl pH 8.0, 150mM NaCl, 1mM EGTA, 1mM MgCl2, 10% glycerol, 0.1% Np-40, 1mM DTT, protease inhibitor cocktail and phosphatase inhibitor cocktail. Cells were lysed using a homogenizer and incubated on ice for 30 minutes. Lysates were then centrifuged at 1500g for 5 minutes at 4ððððððC. DNaseI (2ððððððg/ml) was added to the supernatants. Supernatants were then filtered through a 70ððððððm cell-strainer cap and fractionated on discontinuous sucrose gradients at 100000g for 16 hours at 4ððððððC in the SW40 Ti rotor. The discontinuous sucrose gradients were freshly prepared layering 1ml of each 10-70% (w/v) sucrose solution on top of each other. The sucrose solutions were prepared in 50mM Tris HCl pH 8.0, 150mM NaCl, 1mM EGTA, 1mM MgCl2, 10% glycerol, 0.05% Np-40, 1mM DTT and protease inhibitor cocktail. After the sucrose density gradient centrifugation a small hole was punched at the bottom of the tube with a 26G needle and fractions of 1 ml were collected"
PR514	04.12.14	9-plex TMT	Full proteome	Quarantotti	Gergely	DT40	Chicken	QExactive	Cell pellets containing about 12 million cells have been washed in PBS and snap-frozen. (3 biological replicates per sample)
